Text,author
There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves it is not my nature.,Jane Austen
Do one thing every day that scares you.,Eleanor Roosevelt
I am good but not an angel. I do sin but I am not the devil. I am just a small girl in a big world trying to find someone to love.,Marilyn Monroe
If I were not a physicist I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.,Albert Einstein
If you only read the books that everyone else is reading you can only think what everyone else is thinking.,Haruki Murakami
The difference between genius and stupidity is: genius has its limits.,Alexandre Dumas fils
He's like a drug for you Bella.,Stephenie Meyer
There is no friend as loyal as a book.,Ernest Hemingway
When one door of happiness closes another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.,Helen Keller
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw
